1.3065e-02,1.8526e-02,2.4148e-02,3.6648e-02,2.5712e-02
1.4485e-02,1.6880e-02,2.6316e-02,3.2079e-02,2.8772e-02
1.5321e-02,1.7748e-02,2.3368e-02,3.7016e-02,2.9410e-02
1.3987e-02,1.6089e-02,2.6177e-02,3.4297e-02,2.7668e-02
1.3590e-02,1.7101e-02,2.6976e-02,3.3546e-02,2.6703e-02
1.4989e-02,1.5389e-02,2.4694e-02,3.7767e-02,3.0460e-02
1.4110e-02,1.7976e-02,2.5574e-02,3.3258e-02,2.8493e-02
1.2797e-02,1.6278e-02,2.2727e-02,3.5469e-02,2.6076e-02
1.2850e-02,1.7501e-02,2.5105e-02,3.8269e-02,2.9227e-02
1.4185e-02,1.5816e-02,2.2909e-02,3.3834e-02,2.5428e-02
1.4764e-02,1.8383e-02,2.7388e-02,3.5342e-02,2.7609e-02
1.3343e-02,1.6710e-02,2.4608e-02,3.2488e-02,2.9983e-02
1.3719e-02,1.8093e-02,2.3493e-02,3.1952e-02,3.0390e-02
1.5032e-02,1.6473e-02,2.5727e-02,3.5878e-02,2.7287e-02
1.4581e-02,1.7322e-02,2.3928e-02,3.4799e-02,2.6521e-02
1.3183e-02,1.5689e-02,2.6823e-02,3.7305e-02,2.8220e-02
1.3234e-02,1.7218e-02,2.3110e-02,3.3017e-02,2.7893e-02
1.4654e-02,1.5585e-02,2.5191e-02,3.5657e-02,2.9592e-02
1.5147e-02,1.8197e-02,2.4464e-02,3.3305e-02,2.9018e-02
1.3812e-02,1.6577e-02,2.7206e-02,3.7954e-02,2.5915e-02
1.3416e-02,1.8279e-02,2.5794e-02,3.6775e-02,2.6237e-02
1.4815e-02,1.6606e-02,2.3751e-02,3.4484e-02,2.8611e-02
1.4279e-02,1.7605e-02,2.6546e-02,3.6407e-02,3.0599e-02
1.2966e-02,1.5920e-02,2.3919e-02,3.2267e-02,2.6800e-02
1.2676e-02,1.7872e-02,2.6440e-02,3.4611e-02,2.9865e-02
1.4011e-02,1.6174e-02,2.4311e-02,3.7546e-02,2.7448e-02
1.4933e-02,1.7205e-02,2.5957e-02,3.1764e-02,2.5331e-02
1.3512e-02,1.5493e-02,2.3263e-02,3.6119e-02,2.9088e-02
1.3887e-02,1.7644e-02,2.4990e-02,3.5154e-02,2.8038e-02
1.5201e-02,1.5985e-02,2.7005e-02,3.2729e-02,2.6296e-02
1.4407e-02,1.8630e-02,2.2679e-02,3.8082e-02,2.7084e-02
1.3009e-02,1.6984e-02,2.5335e-02,3.4076e-02,3.0144e-02
1.3054e-02,1.7830e-02,2.7335e-02,3.2361e-02,2.5947e-02
1.4367e-02,1.6118e-02,2.4641e-02,3.6367e-02,2.8364e-02
1.5246e-02,1.8497e-02,2.5062e-02,3.4444e-02,3.0503e-02
1.3847e-02,1.6798e-02,2.2933e-02,3.6869e-02,2.6746e-02
1.3558e-02,1.8005e-02,2.4057e-02,3.7834e-02,2.7796e-02
1.4892e-02,1.6359e-02,2.6713e-02,3.3479e-02,2.9538e-02
1.4056e-02,1.7020e-02,2.3612e-02,3.5831e-02,2.8729e-02
1.2636e-02,1.5360e-02,2.5627e-02,3.2896e-02,2.5669e-02
1.2925e-02,1.8406e-02,2.3392e-02,3.3982e-02,2.8263e-02
1.4324e-02,1.6785e-02,2.6134e-02,3.8122e-02,2.6564e-02
1.4774e-02,1.7426e-02,2.4182e-02,3.2769e-02,2.7207e-02
1.3461e-02,1.5793e-02,2.6263e-02,3.5060e-02,3.0262e-02
1.3772e-02,1.7397e-02,2.5474e-02,3.6239e-02,2.9940e-02
1.5192e-02,1.5711e-02,2.2847e-02,3.1590e-02,2.7566e-02
