2.4515e-02,3.4719e-02,2.0337e-02,3.2171e-02
2.1924e-02,3.5141e-02,1.8553e-02,2.8168e-02
2.3490e-02,3.2434e-02,2.1451e-02,3.0890e-02
2.6191e-02,3.7157e-02,1.9652e-02,2.8714e-02
2.5456e-02,3.2394e-02,1.8438e-02,2.9276e-02
2.3343e-02,3.7948e-02,2.0697e-02,3.0327e-02
2.2659e-02,3.3580e-02,1.9307e-02,2.7628e-02
2.4661e-02,3.6601e-02,2.1550e-02,3.2710e-02
2.5015e-02,3.2903e-02,1.9158e-02,3.0706e-02
2.2314e-02,3.6742e-02,2.1937e-02,2.9632e-02
2.3100e-02,3.4250e-02,1.8067e-02,3.2354e-02
2.5691e-02,3.5556e-02,2.0831e-02,2.7249e-02
2.5837e-02,3.3995e-02,2.1057e-02,2.7812e-02
2.3835e-02,3.6132e-02,1.9793e-02,3.1792e-02
2.2167e-02,3.1979e-02,2.0211e-02,2.9093e-02
2.4280e-02,3.8417e-02,1.8932e-02,3.1217e-02
2.4129e-02,3.1664e-02,2.1818e-02,2.7554e-02
2.2016e-02,3.8088e-02,1.9039e-02,3.2831e-02
2.3986e-02,3.3881e-02,2.0949e-02,2.9581e-02
2.5989e-02,3.6032e-02,1.8185e-02,3.0069e-02
2.5548e-02,3.4377e-02,1.9920e-02,3.0999e-02
2.2957e-02,3.5643e-02,2.1183e-02,2.8651e-02
2.2457e-02,3.3205e-02,1.8806e-02,3.1924e-02
2.5158e-02,3.7083e-02,2.0084e-02,2.8461e-02
2.4813e-02,3.3493e-02,1.8679e-02,2.9030e-02
2.2810e-02,3.6474e-02,2.0463e-02,3.1355e-02
2.3192e-02,3.2052e-02,1.9525e-02,2.8105e-02
2.5305e-02,3.7646e-02,2.1325e-02,3.1545e-02
2.6334e-02,3.2762e-02,2.0578e-02,3.2475e-02
2.3633e-02,3.7472e-02,1.8319e-02,2.7175e-02
2.1781e-02,3.4819e-02,2.1669e-02,3.0448e-02
2.4372e-02,3.5255e-02,1.9426e-02,2.9937e-02
2.4354e-02,3.2548e-02,1.8113e-02,2.8398e-02
2.1653e-02,3.7258e-02,2.0785e-02,3.1941e-02
2.3614e-02,3.4605e-02,1.9204e-02,2.8576e-02
2.6205e-02,3.5040e-02,2.1891e-02,3.1028e-02
2.5176e-02,3.3707e-02,2.0134e-02,3.0098e-02
2.3173e-02,3.6688e-02,1.9009e-02,2.9506e-02
2.2682e-02,3.2267e-02,2.0980e-02,3.2848e-02
2.4795e-02,3.7861e-02,1.9870e-02,2.7491e-02
